source,target,Weight
丹霞路口(西园路),春晖小区,1
丹霞路口(西园路),白马,4
丹霞路口(西园路),近华浦路口(云山路),1
丹霞路西口,土堆村,1
丽苑路西段,梁源三区,6
丽苑路西段,西山区政府(丽苑路),2
丽阳星城小区(海源北路),商院路口,1
丽阳星城小区(海源北路),海源北路口(慧谷路),1
丽阳星城小区(海源北路),海源北路西口,5
义路村口(玉缘路),义路村口(玉缘路)(紫馨书屋),1
义路村口(玉缘路),玉缘路地铁站,2
义路村口(玉缘路)(紫馨书屋),龙辉路口(玉缘路),1
乌龙村口(环湖东路),斗南街口(环湖东路),1
九二〇医院,环西桥(大观路),1
九夏云水小区,周家村,1
书林街南口,华昌路口(环城南路),2
书林街南口,西岳庙(海埂路),1
乾海子(新320国道),园艺农场,1
乾海子(新320国道),园艺场(新320国道),1
乾海子(新320国道),地铁机场前站,1
二号楼(和谐路),市政府(和谐路),7
二号楼(和谐路),市政府(朝云街),2
二号楼(和谐路),政务服务中心,1
二村(前卫西路),前卫西路口(日新中路),1
二村(前卫西路),前旺路口(前福路),1
二村(前卫西路),邬小村(日新中路),2
二环东路,金马立交桥南口,1
二环北路口(小屯路),普吉路南口,1
二环北路口(水岸路),上游水岸小区,1
二环西路口(科医路),洪源路口(科医路),4
二环西路口(科医路),省社科联(二环西路),1
二环西路口(科医路),科医路口(洪源路),1
二环西路口(科医路),科锦路口(二环西路),1
云冶生活区,云冶路,1
云冶生活区,王家桥(王家桥路),3
云冶路,云冶生活区,3
云冶路,云南冶炼厂,1
云南体育学院,昆明学院,1
云南冶炼厂,云冶路,2
云南大学(翠湖北路),园西路口(北门街),1
云南大学(翠湖北路),圆通街,1
云南大学(翠湖北路),府甬道,1
云南大学(翠湖北路),翠湖北路,1
云南大学(青云街),府甬道,2
云南大学(青云街),翠湖北路,1
云南大学南门,博大路口(万青路),1
云南开放大学,云南大学南门,1
云南开放大学东门,关山环路(云大西一门),1
云南民族村,七公里(滇池路),1
云南民族村,海埂公园,1
云南民族村,海埂公园(滇池路),4
云南民族村,红塔东路口(滇池路),3
云南白药街,云南开放大学东门,1
云南白药街,大梨园,1
云南白药街,蓝光天娇城,1
云南白药街,雨花公交枢纽站,1
云南白药街,雨花路口(长风路),1
云南省阜外医院(沙河北路),沙河北路口(沙河路),1
云南省阜外医院(沙河北路),沙河路口(沙河北路),1
云南省阜外医院(沙河北路),西北部公交枢纽站(小屯路),1
云大西路,小普路口(云大西路),6
云岭路口(月华街),雨花公交枢纽站,1
云感寺,玉案山岔路口,1
云景路中段,云景路口(拓翔路),3
云景路口(拓翔路),拓翔路中段,5
云景路口(拓翔路),春漫大道路口(拓翔路),1
云景路口(拓翔路),林溪路口(春漫大道),1
云景路口(林溪路),云景路中段,1
云景路口(林溪路),果林水库南,2
云桥村,长水新村,1
云检培训中心,南苑,5
云检培训中心,正和小区,1
云检培训中心,滇池路口(日新西路),4
云水路口,云波村,1
云波新村,北辰小区(北辰中路),1
云波新村,北辰小区(北辰大道),3
云波新村,穿金路口(北辰大道),1
云波村,盛唐城3号门,1
云湾路口(春漫大道),云景路中段,1
云湾路口(春漫大道),信息产业基地(云景路),1
云湾路口(春漫大道),向阳路口(林溪路),1
云湾路口(春漫大道),春漫大道,2
云湾路口(春漫大道),红枫路口(林溪路),1
云湾路口(春漫大道),经开区管委会(春漫大道),1
云瑞路口(云水路),津桥学院,2
云福路口(昆洛路),杜家营(昆洛路),1
云秀路,云秀路口(广居路),3
云秀路口,子君村(彩云北路),1
云秀路口(广居路),广居路,3
云秀路口(广居路),广居路口,1
云秀路口(广福路),官渡古镇(广福路),3
云秀路口(广福路),广福路口(星耀路),1
云秀路口(广福路),普自村,4
云秀路口(彩云北路),六谷村(彩云北路),6
云秀路口(彩云北路),大都购物中心(珥季路),1
云秀路口(彩云北路),子君村(彩云北路),6
云秀路口(彩云北路),彩云北路口(云秀路),2
云艺3号门,青教公寓,1
云艺运动场,舞蹈学院,1
云霞路口(拓翔路),大冲村(林溪路),1
云霞路口(拓翔路),春漫大道路口(拓翔路),2
云霞路口(拓翔路),林溪路口(春漫大道),1
云霞路口(民旺路),云湾路口(春漫大道),1
云麻路口(经浦路),车辆管理所,1
云龙村,云龙村南口,1
云龙村南口,关锁村,1
五华区保健医院,东风西路口,1
五华广场,正义路,1
五华科技产业园(沙河路),云南省阜外医院(沙河北路),1
五华科技产业园(沙河路),王筇路口(沙河路),1
五华科技产业园(沙河路),王筇路口(科普路),1
五家堆村,五家堆村北,3
五家堆村,大观楼南园,1
五家堆村北,五家堆村,1
五家堆村北,航运码头,3
五甲塘湿地公园,昌宏西路口(环湖东路),1
五甲河(广福路),世纪城(广福路),4
五甲河(广福路),华晨路口(广福路),1
五甲河(广福路),广福路口(金源大道),2
五甲河(广福路),昌宏路口(广福路),5
五腊隧道西,螺蛳湾仓储区东,1
五腊隧道西,螺蛳湾公交枢纽站(怡安路),2
五里多村,关兴路口(民航路),6
五里多村,吴井路口(民航路),3
交三桥(人民东路),交三桥(北京路),1
交三桥(人民东路),南太桥(青年路),1
交三桥(人民东路),小花园(青年路),1
交三桥(人民东路),昆明市实验中学,2
交三桥(人民东路),财盛巷口(人民中路),1
交三桥(北京路),东风广场(北京路),1
交三桥(北京路),凤凰村,5
交三桥(北京路),南太桥(东风东路),1
交三桥(北京路),白云路口,1
交通学校,普吉路南口,8
交通学校,普吉路口,1
交通学校,观音寺社区,5
交通学校,马村立交桥,1
人与自然小区,世博园,4
人与自然小区,佳园小区(白龙路),2
人与自然小区,园博路,1
人与自然小区,白龙路口(东三环),1
人民东路口(新迎路),新迎路,2
人民东路口(新迎路),王大桥,1
人民新村,安全新村,1
人民新村,西站2,1
人民西路口(西园路),丹霞路口(西园路),1
人民西路口(西园路),春晖小区,1
人民西路口(西园路),眠山车场,1
人民西路口(西园路),西园路口,1
人民西路口(近华浦路),春苑小区,3
人民西路口(近华浦路),茭菱路口(近华浦路),3
人民西路口(近华浦路),近华浦路口(人民西路),3
付家营东,季宏路口(古渡口路),1
