Number,bus_Name,bus_Stop,busstop_Longitude,busstop_Latitude,distance_m_,straight_Distance,busstop_Longitude84,busstop_Latitude84,straight_Distance_HeadToTail,distance,basic_price,total_price,start_time,end_time,company
2,2路(黄土坡--昆明站(永平路)),普吉路口(滇缅大道),102.673802,25.061892,420,413,102.672448,25.06492754,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),麻园(滇缅大道),102.677977,25.057539,641,641,102.6766127,25.06056707,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),虹山南路口(滇缅大道),102.684844,25.053381,842,832,102.6834628,25.05639666,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),西站,102.688398,25.052543,371,370,102.6870082,25.05555226,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),建设路,102.696927,25.051419,1176,868,102.6955173,25.05441353,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),百汇商场,102.697565,25.047552,435,435,102.6961539,25.0505459,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),富春街口(人民中路),102.701697,25.043524,757,612,102.7002769,25.04651167,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),胜利广场,102.706645,25.042839,515,504,102.7052145,25.04581924,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),财盛巷口(人民中路),102.711944,25.042027,562,541,102.710503,25.04499995,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),交三桥(人民东路),102.717499,25.042381,561,561,102.7160479,25.04534702,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),交三桥(北京路),102.719514,25.041428,310,229,102.7180595,25.04439185,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),东风广场(北京路),102.719731,25.037057,487,486,102.7182762,25.04002111,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),塘子巷(北京路),102.720091,25.031341,637,637,102.7186358,25.03430538,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),和平村(北京路),102.720373,25.028598,306,306,102.7189174,25.0315624,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),环城南路口(北京路),102.720924,25.023108,614,613,102.7194677,25.02607247,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
2,2路(黄土坡--昆明站(永平路)),昆明站(永平路),102.723194,25.018668,695,544,102.7217342,25.02163069,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),颐园小区(白云路),102.72802,25.064663,0,0,102.7265518,25.06761614,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),白云路口(北京路),102.723412,25.065113,545,467,102.7219505,25.06807022,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),凤凰新村,102.721733,25.0602,572,572,102.7202743,25.06315942,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),火车北站(北京路),102.719376,25.05357,776,774,102.7179214,25.05653265,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),穿心鼓楼(北京路),102.719379,25.048134,604,604,102.7179245,25.05109724,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),凤凰村,102.719383,25.045643,277,277,102.7179286,25.04860652,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),交三桥(人民东路),102.71814,25.042526,475,368,102.7166878,25.04549126,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),南太桥(青年路),102.716064,25.039007,628,444,102.7146155,25.0419751,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),得胜桥(青年路),102.716629,25.034891,461,461,102.7151796,25.0378589,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),金马坊,102.713942,25.033444,444,315,102.7124975,25.03641536,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),靖国路口,102.704727,25.033134,945,929,102.7033007,25.03611819,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),弥勒寺(西昌路),102.700898,25.031228,745,440,102.69948,25.03421835,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),工人新村(西昌路),102.704414,25.027865,515,515,102.7029885,25.03085028,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),西岳庙(海埂路),102.708338,25.02194,791,768,102.7069046,25.02492023,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),豆腐营(海埂路),102.708504,25.016771,575,575,102.7070705,25.01975162,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),洒金巷口(海埂路),102.708679,25.008858,880,880,102.7072453,25.01183933,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),绿荫大道路口,102.70944,25.004171,529,527,102.708005,25.00715184,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),日新路口(润城第二大道),102.70872,24.999236,561,554,102.7072865,25.00221846,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),前卫营(前兴路),102.707268,24.992973,713,712,102.7058377,24.99595831,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
3,3路(颐园小区(白云路)--前兴路公交枢纽站),前兴路公交枢纽站,102.705467,24.987856,644,597,102.7040405,24.99084459,8837.7,11.66662,1,2,,,昆明公交集团第三分公司
4,4路(小菜园立交桥--大观楼车场),小菜园立交桥,102.709518,25.059862,0,0,102.7080812,25.06283627,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),鼓楼路,102.71125,25.055264,560,540,102.70981,25.0582364,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),圆通山,102.714844,25.052126,542,503,102.7133973,25.05509411,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),青年路,102.715118,25.045984,687,684,102.713671,25.04895246,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),南太桥(青年路),102.716057,25.039066,775,775,102.7146085,25.0420341,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),得胜桥(青年路),102.716628,25.034878,469,469,102.7151786,25.0378459,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),金马坊,102.714753,25.033459,360,246,102.713307,25.03642934,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),靖国路口,102.704727,25.033134,1027,1011,102.7033007,25.03611819,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),弥勒寺(西昌路),102.700773,25.031345,730,445,102.6993553,25.03433553,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),工人新村(安康路),102.700523,25.028246,774,346,102.6991059,25.03123729,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),安康路,102.69735,25.028143,320,320,102.69594,25.03113948,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),刘家营(安康路),102.693573,25.028055,381,381,102.6921717,25.0310579,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),安康路口,102.689705,25.027182,421,402,102.6883128,25.03019181,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),东陆桥(西园路),102.684245,25.029553,700,610,102.682866,25.03257247,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),昆五中,102.68043,25.031536,604,443,102.6790603,25.03456236,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
4,4路(小菜园立交桥--大观楼车场),大观楼车场,102.675933,25.027496,654,638,102.6745746,25.03053135,4939.6,9.00123,1,2,600,2200,昆明公交集团第一分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),茭菱路口(环城西路),102.689115,25.048351,0,0,102.6877236,25.05135944,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),潘家湾(人民西路),102.691376,25.044067,684,528,102.6899793,25.04707189,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),小西门(人民西路),102.696063,25.043707,474,474,102.6946555,25.04670384,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),小西门(东风西路),102.700438,25.041606,550,499,102.6990207,25.04459589,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),艺术剧院,102.703915,25.03829,509,509,102.7024903,25.04127483,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),南太桥(东风东路),102.71803,25.03803,1504,1422,102.7165781,25.0409959,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),尚义巷口(东风东路),102.723685,25.038147,570,570,102.7222239,25.04110692,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),拓东体育馆(东风东路),102.731128,25.038255,751,750,102.7296565,25.04120867,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),东站(环城东路),102.734398,25.03323,892,649,102.7329228,25.03618213,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),民航路,102.734299,25.026535,930,744,102.7328241,25.02948797,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),吴井路口(民航路),102.73642,25.023506,400,399,102.7349428,25.02645815,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),五里多村,102.738655,25.020069,448,444,102.7371757,25.02302049,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),关兴路口(民航路),102.742043,25.015409,622,620,102.7405608,25.01835979,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),官渡广场(民航路),102.744377,25.011953,451,450,102.7428931,25.01490358,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),关上(民航路),102.746437,25.008963,392,392,102.7449517,25.01191357,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),关景路,102.750061,25.006062,526,487,102.7485737,25.00901266,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
5,5路(茭菱路口(环城西路)--巫家坝车场),巫家坝车场,102.754456,25.006098,457,443,102.7529668,25.00904899,8088,10.1573,1,2,600,2230,昆明公交集团第二分公司
6,6路(高峣--眠山车场),高峣,102.618099,24.98477,0,0,102.6168625,24.98790119,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),碧鸡关,102.615447,24.988707,516,513,102.6142135,24.99183978,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),车家壁地铁站,102.615625,24.993633,653,548,102.6143912,24.99676503,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),车家壁(春雨路),102.617782,24.997556,492,487,102.6165456,25.00068586,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),春雨路南段,102.618685,24.998967,183,181,102.6174474,25.00209592,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),干沟路口,102.621354,25.005022,737,725,102.6201127,25.00814776,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),普坪村,102.624076,25.011176,775,737,102.6228306,25.01429829,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),白沙路口,102.628082,25.015964,671,668,102.6268302,25.01908125,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),石咀村,102.629965,25.018802,370,368,102.62871,25.02191663,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),马街村(春雨路),102.633888,25.024612,758,757,102.6326259,25.02772085,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),大渔路地铁站(春雨路),102.63628,25.028681,516,513,102.6350133,25.03178605,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),马街(春雨路),102.637487,25.031654,352,352,102.6362179,25.03475697,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),益宁路口(春雨路),102.63931,25.03599,524,516,102.6380372,25.03908978,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),上村路口(春雨路),102.640239,25.038312,275,275,102.6389643,25.04141011,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),七公里(春雨路),102.643776,25.044094,753,735,102.6424938,25.04718593,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
6,6路(高峣--眠山车场),眠山车场,102.647797,25.046952,591,515,102.646506,25.05003701,7534.1,8.15447,1,2,600,2200,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),潘家湾(西昌路),102.694362,25.047713,0,0,102.6929583,25.05071229,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),环城西路口(茭菱路),102.687161,25.049709,1101,759,102.6857743,25.05272082,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),茭菱路,102.683975,25.049995,343,322,102.682596,25.05301264,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),西园路口(茭菱路),102.677917,25.048811,633,624,102.6765531,25.05184014,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),丰宁小区,102.674095,25.049114,387,386,102.6727406,25.05215037,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),西苑立交桥北口,102.670872,25.049492,342,327,102.6695256,25.05253449,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),省社科联(二环西路),102.67135,25.054414,552,549,102.6700023,25.05745503,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),科锦路口(二环西路),102.669708,25.060247,694,669,102.6683642,25.06329054,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),黄土坡立交桥西口,102.664618,25.064353,983,686,102.6632867,25.06740577,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),海源中路口(滇缅大道),102.661016,25.063872,367,367,102.6596936,25.06693158,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昌源路口(滇缅大道),102.659019,25.06362,205,203,102.6577014,25.06668331,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),假日城市小区(滇缅大道),102.656708,25.063341,235,235,102.655396,25.06640858,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),黑林铺(滇缅大道),102.650093,25.061455,719,698,102.6487964,25.06453451,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),滇缅大道西段,102.648766,25.059305,282,274,102.6474724,25.06238701,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),小团山(滇缅大道),102.647667,25.055056,485,485,102.646376,25.05814033,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昭宗路口(滇缅大道),102.647232,25.053377,192,192,102.645942,25.05646224,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昆明玻璃厂,102.643924,25.055699,585,422,102.6426411,25.05878941,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昭宗彝族村,102.641536,25.054549,315,272,102.6402582,25.0576433,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昭宗彝族村口,102.639536,25.052548,300,300,102.6382623,25.05564558,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昭宗乡村委会,102.637943,25.050812,252,251,102.6366725,25.05391213,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昭宗路,102.636324,25.047383,420,415,102.6350567,25.05048585,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昭宗大村,102.635347,25.04378,425,412,102.6340817,25.04688463,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),昆药集团,102.638359,25.041571,426,390,102.6370879,25.04467156,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),益宁路口(春雨路),102.639288,25.035929,1361,634,102.6380152,25.03902882,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),七公里(春雨路),102.64375,25.044067,1030,1010,102.6424678,25.04715898,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
7,7路(潘家湾(西昌路)--眠山车场),眠山车场,102.647838,25.046929,594,520,102.6465469,25.05001394,4687.5,13.21902,1,2,600,2130,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),昆师路,102.695378,25.046749,0,0,102.6939719,25.04974666,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),西站,102.688767,25.052613,1038,932,102.6873763,25.05562159,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),虹山南路口(滇缅大道),102.683899,25.053957,517,513,102.6825201,25.05697434,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),麻园(滇缅大道),102.678162,25.057573,713,704,102.6767972,25.06060071,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),黄土坡后街,102.674301,25.063377,773,754,102.6729457,25.06641143,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),普吉路南口,102.673798,25.066689,373,372,102.6724438,25.06972405,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),交通学校,102.674385,25.072592,674,659,102.6730292,25.07562532,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),观音寺社区,102.673958,25.078559,666,665,102.6726031,25.08159253,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),王家桥(王家桥路),102.674408,25.083937,646,600,102.6730518,25.08696915,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),冶炼厂,102.675812,25.086671,359,335,102.6744522,25.08970021,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),王家桥路,102.672118,25.090434,577,560,102.6707673,25.0934699,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),公交西部修理公司(普吉路),102.670967,25.094213,441,436,102.6696191,25.09725075,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),普吉农贸市场,102.670029,25.096243,245,245,102.6686834,25.09928235,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),普吉,102.669792,25.102032,650,644,102.6684468,25.10507129,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),大普吉村(同心路),102.66704,25.105317,489,458,102.6657016,25.10836124,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),普吉小学,102.66418,25.10526,290,288,102.6628487,25.10830967,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
8,8路(昆师路--轻机厂),轻机厂,102.659436,25.107018,519,516,102.6581162,25.11007638,7616.7,8.96052,1,2,600,2200,昆明公交集团第五分公司
9,9路(火车北站(环城北路)--北部公交枢纽站),火车北站(环城北路),102.717726,25.055048,0,0,102.7162741,25.05801235,7618,17.59027,2,2,600,2130,昆明公交集团第四分公司
