ID,LABEL,Lat,Lng
绿荫大道路口,绿荫大道路口,25.004171,102.70944
日新路口(润城第二大道),日新路口(润城第二大道),24.999236,102.70872
前卫营(前兴路),前卫营(前兴路),24.992973,102.707268
前兴路公交枢纽站,前兴路公交枢纽站,24.987856,102.705467
小菜园立交桥,小菜园立交桥,25.059862,102.709518
鼓楼路,鼓楼路,25.055264,102.71125
圆通山,圆通山,25.052126,102.714844
青年路,青年路,25.045984,102.715118
工人新村(安康路),工人新村(安康路),25.028246,102.700523
安康路,安康路,25.028143,102.69735
刘家营(安康路),刘家营(安康路),25.028055,102.693573
安康路口,安康路口,25.027182,102.689705
东陆桥(西园路),东陆桥(西园路),25.029553,102.684245
昆五中,昆五中,25.031536,102.68043
大观楼车场,大观楼车场,25.027496,102.675933
茭菱路口(环城西路),茭菱路口(环城西路),25.048351,102.689115
潘家湾(人民西路),潘家湾(人民西路),25.044067,102.691376
小西门(人民西路),小西门(人民西路),25.043707,102.696063
小西门(东风西路),小西门(东风西路),25.041606,102.700438
艺术剧院,艺术剧院,25.03829,102.703915
南太桥(东风东路),南太桥(东风东路),25.03803,102.71803
尚义巷口(东风东路),尚义巷口(东风东路),25.038147,102.723685
拓东体育馆(东风东路),拓东体育馆(东风东路),25.038255,102.731128
东站(环城东路),东站(环城东路),25.03323,102.734398
民航路,民航路,25.026535,102.734299
吴井路口(民航路),吴井路口(民航路),25.023506,102.73642
五里多村,五里多村,25.020069,102.738655
关兴路口(民航路),关兴路口(民航路),25.015409,102.742043
官渡广场(民航路),官渡广场(民航路),25.011953,102.744377
关上(民航路),关上(民航路),25.008963,102.746437
关景路,关景路,25.006062,102.750061
巫家坝车场,巫家坝车场,25.006098,102.754456
高峣,高峣,24.98477,102.618099
碧鸡关,碧鸡关,24.988707,102.615447
车家壁地铁站,车家壁地铁站,24.993633,102.615625
车家壁(春雨路),车家壁(春雨路),24.997556,102.617782
春雨路南段,春雨路南段,24.998967,102.618685
干沟路口,干沟路口,25.005022,102.621354
普坪村,普坪村,25.011176,102.624076
白沙路口,白沙路口,25.015964,102.628082
石咀村,石咀村,25.018802,102.629965
马街村(春雨路),马街村(春雨路),25.024612,102.633888
大渔路地铁站(春雨路),大渔路地铁站(春雨路),25.028681,102.63628
马街(春雨路),马街(春雨路),25.031654,102.637487
益宁路口(春雨路),益宁路口(春雨路),25.03599,102.63931
上村路口(春雨路),上村路口(春雨路),25.038312,102.640239
七公里(春雨路),七公里(春雨路),25.044094,102.643776
眠山车场,眠山车场,25.046952,102.647797
潘家湾(西昌路),潘家湾(西昌路),25.047713,102.694362
环城西路口(茭菱路),环城西路口(茭菱路),25.049709,102.687161
茭菱路,茭菱路,25.049995,102.683975
西园路口(茭菱路),西园路口(茭菱路),25.048811,102.677917
丰宁小区,丰宁小区,25.049114,102.674095
西苑立交桥北口,西苑立交桥北口,25.049492,102.670872
省社科联(二环西路),省社科联(二环西路),25.054414,102.67135
科锦路口(二环西路),科锦路口(二环西路),25.060247,102.669708
黄土坡立交桥西口,黄土坡立交桥西口,25.064353,102.664618
海源中路口(滇缅大道),海源中路口(滇缅大道),25.063872,102.661016
昌源路口(滇缅大道),昌源路口(滇缅大道),25.06362,102.659019
假日城市小区(滇缅大道),假日城市小区(滇缅大道),25.063341,102.656708
黑林铺(滇缅大道),黑林铺(滇缅大道),25.061455,102.650093
滇缅大道西段,滇缅大道西段,25.059305,102.648766
小团山(滇缅大道),小团山(滇缅大道),25.055056,102.647667
昭宗路口(滇缅大道),昭宗路口(滇缅大道),25.053377,102.647232
昆明玻璃厂,昆明玻璃厂,25.055699,102.643924
昭宗彝族村,昭宗彝族村,25.054549,102.641536
昭宗彝族村口,昭宗彝族村口,25.052548,102.639536
昭宗乡村委会,昭宗乡村委会,25.050812,102.637943
昭宗路,昭宗路,25.047383,102.636324
昭宗大村,昭宗大村,25.04378,102.635347
昆药集团,昆药集团,25.041571,102.638359
昆师路,昆师路,25.046749,102.695378
黄土坡后街,黄土坡后街,25.063377,102.674301
王家桥(王家桥路),王家桥(王家桥路),25.083937,102.674408
冶炼厂,冶炼厂,25.086671,102.675812
王家桥路,王家桥路,25.090434,102.672118
公交西部修理公司(普吉路),公交西部修理公司(普吉路),25.094213,102.670967
普吉农贸市场,普吉农贸市场,25.096243,102.670029
普吉,普吉,25.102032,102.669792
大普吉村(同心路),大普吉村(同心路),25.105317,102.66704
普吉小学,普吉小学,25.10526,102.66418
轻机厂,轻机厂,25.107018,102.659436
火车北站(环城北路),火车北站(环城北路),25.055048,102.717726
油管桥,油管桥,25.057483,102.713906
小菜园,小菜园,25.065821,102.709145
下马村(龙泉路),下马村(龙泉路),25.069363,102.709297
上马村,上马村,25.07546,102.711777
马村立交桥,马村立交桥,25.079805,102.714661
龙泉住宅区,龙泉住宅区,25.083711,102.717348
高教巷口(龙泉路),高教巷口(龙泉路),25.087721,102.718377
岗头村,岗头村,25.095764,102.718615
昆烟二部,昆烟二部,25.098242,102.719553
沙坝营(龙泉路),沙坝营(龙泉路),25.102345,102.720711
昆明烟厂,昆明烟厂,25.110243,102.723976
小麦溪,小麦溪,25.118277,102.725707
蓝龙潭,蓝龙潭,25.126098,102.72918
沣源路口(龙泉路),沣源路口(龙泉路),25.130846,102.731029
市第二人民医院,市第二人民医院,25.133529,102.731944
茨坝新村,茨坝新村,25.135751,102.732769
白杨路口(龙泉路),白杨路口(龙泉路),25.143387,102.73555
茨坝(龙泉路),茨坝(龙泉路),25.147232,102.736893
植物园北门,植物园北门,25.145599,102.741325
蓝桉路口,蓝桉路口,25.140032,102.74543
黑龙潭,黑龙潭,25.13695,102.747414
干休所,干休所,25.134413,102.747757
农业大学,农业大学,25.127171,102.746468
小康大道路口(沣源路),小康大道路口(沣源路),25.122009,102.745407
幸福家园小区,幸福家园小区,25.11895,102.747795
北京路口(沣源路),北京路口(沣源路),25.114843,102.750816
龙头街,龙头街,25.109861,102.755009
北部公交枢纽站,北部公交枢纽站,25.109219,102.764036
南屏街西口,南屏街西口,25.036598,102.708488
师范大学,师范大学,25.054262,102.697865
一二一大街,一二一大街,25.056944,102.70385
江岸小区,江岸小区,25.068008,102.71328
盘江东路口(白云路),盘江东路口(白云路),25.068069,102.714928
万华路口(白云路),万华路口(白云路),25.067623,102.717278
志强路口(白云路),志强路口(白云路),25.066389,102.721657
北京路口(白云路),北京路口(白云路),25.065399,102.725159
王旗营(白云路),王旗营(白云路),25.063212,102.729957
小坝(穿金路),小坝(穿金路),25.061727,102.735139
小坝立交桥,小坝立交桥,25.063858,102.737328
昆十一中,昆十一中,25.066767,102.740242
北辰大道路口(穿金路),北辰大道路口(穿金路),25.071159,102.744637
波罗村,波罗村,25.073685,102.747269
省精神病医院,省精神病医院,25.076002,102.749619
煤机新村,煤机新村,25.07917,102.752792
铂金大道路口(穿金路),铂金大道路口(穿金路),25.082327,102.756058
穿金路北段,穿金路北段,25.086407,102.761871
金殿车场,金殿车场,25.087669,102.766701
关通路口(雨龙路),关通路口(雨龙路),25.013919,102.751298
雨龙路,雨龙路,25.020898,102.746432
彩云北路口(雨龙路),彩云北路口(雨龙路),25.023963,102.746341
菊华立交桥东口,菊华立交桥东口,25.024848,102.747357
三公里,三公里,25.02378,102.75013
关上(彩云北路),关上(彩云北路),25.016602,102.758705
朱家村(彩云北路),朱家村(彩云北路),25.014965,102.763624
朱家村(贵昆路),朱家村(贵昆路),25.007075,102.773368
牛街庄,牛街庄,25.005447,102.778906
昌宏路口(贵昆路),昌宏路口(贵昆路),25.003559,102.784983
八公里下穿路口,八公里下穿路口,25.00122,102.79099
八公里,八公里,24.999028,102.794366
昆船大道路口(贵昆路),昆船大道路口(贵昆路),24.996506,102.797188
普照村(贵昆路),普照村(贵昆路),24.991871,102.805138
大石坝,大石坝,24.993273,102.817146
小石坝,小石坝,25.006233,102.825562
干海子,干海子,25.009687,102.835114
双拥站,双拥站,25.012236,102.836826
招呼站,招呼站,25.01602,102.839835
阿依村,阿依村,25.040924,102.868051
电杆厂,电杆厂,25.04355,102.872378
大板桥明应寺,大板桥明应寺,25.044384,102.875351
大板桥镇,大板桥镇,25.045477,102.879783
大板桥公交车场,大板桥公交车场,25.047474,102.885343
呈贡,呈贡,24.890052,102.795838
兴呈路口,兴呈路口,24.89174,102.79424
北门街口(兴呈路),北门街口(兴呈路),24.896793,102.793243
斗南路口(兴呈路),斗南路口(兴呈路),24.903503,102.793831
斗南地铁站(彩云北路),斗南地铁站(彩云北路),24.90793,102.791806
殷家村,殷家村,24.912192,102.785048
小新村(自卫村),小新村(自卫村),24.916298,102.7801
照西村,照西村,24.92145,102.777088
螺蛳湾公交枢纽站(彩云北路),螺蛳湾公交枢纽站(彩云北路),24.928633,102.775022
螺蛳湾二期(彩云北路),螺蛳湾二期(彩云北路),24.934601,102.773372
广福立交北,广福立交北,24.947808,102.769705
子君村(彩云北路),子君村(彩云北路),24.957049,102.768372
云秀路口(彩云北路),云秀路口(彩云北路),24.960747,102.768077
六谷村(彩云北路),六谷村(彩云北路),24.966606,102.767591
大都购物中心(彩云北路),大都购物中心(彩云北路),24.972995,102.767096
织布营,织布营,24.97888,102.767006
雨龙村(彩云北路),雨龙村(彩云北路),24.984852,102.766949
名宅东辰苑(雨龙路),名宅东辰苑(雨龙路),24.99352,102.762491
土桥村(雨龙路),土桥村(雨龙路),24.996489,102.762656
和甸营村,和甸营村,25.002474,102.759609
关景路口(雨龙路),关景路口(雨龙路),25.00526,102.757439
小西门远郊车场,小西门远郊车场,25.044363,102.696643
昆阳客运站,昆阳客运站,24.652254,102.611496
湖西小区站,湖西小区站,24.885985,102.504132
凌波小区,凌波小区,24.888576,102.503793
博创,博创,24.890933,102.501563
六万,六万,24.892908,102.498346
昆明工业职业技术学院,昆明工业职业技术学院,24.895612,102.496398
昆钢商场,昆钢商场,24.897396,102.496298
园山南路,园山南路,24.901228,102.494991
百花路口(招呼站),百花路口(招呼站),24.921506,102.494167
安房集团,安房集团,24.924019,102.493633
读书铺,读书铺,24.946532,102.557656
桥钢,桥钢,24.954362,102.577457
长坡,长坡,24.961749,102.593433
高峣立交桥(招呼站),高峣立交桥(招呼站),24.992348,102.620764
明波建材灯具市场,明波建材灯具市场,25.029596,102.667656
鱼翅路口,鱼翅路口,25.035312,102.669826
西苑立交桥南口,西苑立交桥南口,25.043424,102.670417
潘家湾,潘家湾,25.044076,102.69128
小西门,小西门,25.044093,102.697079
温泉,温泉,24.955039,102.45178
珍泉村,珍泉村,24.950616,102.453485
羊角村,羊角村,24.944107,102.454559
杨柳庄,杨柳庄,24.938671,102.48558
金城花园,金城花园,24.924987,102.504149
大渔路口(碧鸡路),大渔路口(碧鸡路),25.021898,102.645531
苏家村,苏家村,25.024302,102.650642
西三环路口,西三环路口,25.026119,102.656433
小河埂,小河埂,25.02751,102.660988
鱼翅路口(二环西路),鱼翅路口(二环西路),25.035164,102.669815
省粮油批发市场,省粮油批发市场,25.037109,102.669952
梁家河,梁家河,25.044905,102.67967
昆阳磷肥厂,昆阳磷肥厂,24.70982,102.590423
中谊村,中谊村,24.725616,102.588905
中谊村(中谊综合农贸市场),中谊村(中谊综合农贸市场),24.728073,102.588753
兴苑路口,兴苑路口,25.040412,102.661354
西苑立交桥,西苑立交桥,25.045851,102.66707
近华浦路口,近华浦路口,25.045178,102.676003
小西门车场,小西门车场,25.044088,102.697083
大观楼(大观路),大观楼(大观路),25.028303,102.676753
九二〇医院,九二〇医院,25.03543,102.687049
环西桥(大观路),环西桥(大观路),25.037205,102.690929
篆塘(大观路),篆塘(大观路),25.039457,102.69339
篆塘,篆塘,25.041645,102.694489
潘家湾2,潘家湾2,25.047622,102.694371
一二一大街(莲花池),一二一大街(莲花池),25.05694,102.70385
圆通北路,圆通北路,25.056585,102.707413
环城北路,环城北路,25.053564,102.721527
席子营(环城东路),席子营(环城东路),25.051189,102.726059
理工大学新迎校区,理工大学新迎校区,25.048725,102.728806
白龙路,白龙路,25.048529,102.731522
新迎路口(白龙路),新迎路口(白龙路),25.052118,102.736679
石闸立交桥(白龙路),石闸立交桥(白龙路),25.053684,102.742615
佳园小区(白龙路),佳园小区(白龙路),25.05868,102.746674
人与自然小区,人与自然小区,25.062822,102.750114
白龙路口(东三环),白龙路口(东三环),25.066143,102.756294
西南林业大学东门(东三环),西南林业大学东门(东三环),25.063377,102.763885
长地埂村(东三环),长地埂村(东三环),25.057964,102.764877
呼马山(东三环),呼马山(东三环),25.053724,102.766849
东三环路口(金瓦路),东三环路口(金瓦路),25.049032,102.773377
市委党校(金瓦路),市委党校(金瓦路),25.048516,102.776901
白沙河,白沙河,25.049102,102.781753
东郊黄土坡,东郊黄土坡,25.051979,102.785768
花之城广场,花之城广场,25.052435,102.791293
青龙村(照青路),青龙村(照青路),25.049026,102.795105
青龙山,青龙山,25.04369,102.791336
东部公交枢纽站,东部公交枢纽站,25.038147,102.788872
昆明站(北京路),昆明站(北京路),25.017742,102.721611
永安路口(北京路),永安路口(北京路),25.020779,102.721252
塘子巷,塘子巷,25.034479,102.719944
金星立交桥,金星立交桥,25.07546,102.727483
北辰大道路口(北京路),北辰大道路口(北京路),25.081589,102.733139
江东花园北路口(北京路),江东花园北路口(北京路),25.085786,102.73645
金安小区,金安小区,25.090829,102.738338
霖雨桥(北京路),霖雨桥(北京路),25.094141,102.73951
金江小区,金江小区,25.098937,102.741254
羊肠村(北京路),羊肠村(北京路),25.105156,102.743553
司家营(北京路),司家营(北京路),25.108393,102.744743
昆十中(北京路),昆十中(北京路),25.111597,102.7463
沣源路口(北京路),沣源路口(北京路),25.114397,102.749158
北部汽车客运站,北部汽车客运站,25.108407,102.760916
双龙商场,双龙商场,25.024084,102.718815
双龙桥,双龙桥,25.023598,102.713164
大庄村(前兴路),大庄村(前兴路),24.987288,102.705933
商汇路口(前兴路),商汇路口(前兴路),24.982656,102.704849
前兴路口(广福路),前兴路口(广福路),24.979423,102.703494
昆明同仁医院(广福路),昆明同仁医院(广福路),24.979345,102.6977
太家河,太家河,24.984787,102.688381
广福路口(前卫西路),广福路口(前卫西路),24.987635,102.685883
太河村(前卫西路),太河村(前卫西路),24.985634,102.682343
海宏路口(前卫西路),海宏路口(前卫西路),24.982595,102.676994
滇池路口(前卫西路),滇池路口(前卫西路),24.979444,102.671445
西贡码头(滇池路),西贡码头(滇池路),24.984813,102.662726
滇池度假区管委会(滇池路),滇池度假区管委会(滇池路),24.982036,102.665972
七公里(滇池路),七公里(滇池路),24.977635,102.669714
红塔东路口(滇池路),红塔东路口(滇池路),24.973659,102.671263
云南民族村,云南民族村,24.967344,102.667984
海埂公园(滇池路),海埂公园(滇池路),24.961166,102.665405
北京路口(环城南路),北京路口(环城南路),25.024208,102.721954
吴井桥(环城南路),吴井桥(环城南路),25.025664,102.727057
民航路口(环城南路),民航路口(环城南路),25.027921,102.730312
董家湾(环城东路),董家湾(环城东路),25.036393,102.734531
延安医院(环城东路),延安医院(环城东路),25.042109,102.733299
席子营社区,席子营社区,25.053839,102.727234
穿金路口(联盟路),穿金路口(联盟路),25.056379,102.728508
联盟路,联盟路,25.057995,102.725723
联盟路口(万宏路),联盟路口(万宏路),25.059124,102.725502
万宏路,万宏路,25.060652,102.726112
王旗营(万宏路),王旗营(万宏路),25.063398,102.728439
金星东门,金星东门,25.066425,102.731491
金江路,金江路,25.067738,102.729797
金星西门,金星西门,25.068621,102.726791
金夏路,金夏路,25.074617,102.72831
金实小区,金实小区,25.075352,102.732048
金菊路口(金实路),金菊路口(金实路),25.07678,102.733719
北辰小区(北辰中路),北辰小区(北辰中路),25.080021,102.736626
北辰中路,北辰中路,25.081215,102.737648
江东商业街,江东商业街,25.084648,102.739578
江东花园,江东花园,25.087536,102.738853
市第三人民医院,市第三人民医院,25.022943,102.730204
吴井路,吴井路,25.021029,102.731796
民航路口(吴井路),民航路口(吴井路),25.022354,102.735794
关上(日新路),关上(日新路),25.008451,102.748215
官渡区医院,官渡区医院,25.011358,102.751526
巫家坝车场(雨龙路),巫家坝车场(雨龙路),25.007951,102.753997
盛惠园小区,盛惠园小区,25.025925,102.780357
6号路,6号路,25.023863,102.78112
天文台(金马路),天文台(金马路),25.020798,102.784897
金马路东段,金马路东段,25.018963,102.781342
金马路中段,金马路中段,25.019022,102.769501
凉亭村,凉亭村,25.021702,102.764893
凉亭(金马路),凉亭(金马路),25.023867,102.758194
黑土凹(金马路),黑土凹(金马路),25.027344,102.751373
东骧神骏小区(东风东路),东骧神骏小区(东风东路),25.030565,102.749725
金马寺(东风东路),金马寺(东风东路),25.033083,102.748398
金马立交桥(东风东路),金马立交桥(东风东路),25.035612,102.743789
大树营地铁站,大树营地铁站,25.036949,102.741207
曙光路口(东风东路),曙光路口(东风东路),25.038438,102.737995
青龙村(金瓦路),青龙村(金瓦路),25.050039,102.795126
郭家凹,郭家凹,25.04747,102.762543
金沙路口,金沙路口,25.043338,102.757934
金瓦路口(虹桥路),金瓦路口(虹桥路),25.040495,102.751437
王大桥,王大桥,25.041649,102.748468
新迎路口(人民东路),新迎路口(人民东路),25.043911,102.73951
东华小区,东华小区,25.043938,102.734268
莲花宾馆,莲花宾馆,25.062405,102.704575
教场路口(学府路),教场路口(学府路),25.062973,102.700691
理工大学北门(学府路),理工大学北门(学府路),25.063229,102.695175
康盛电器城,康盛电器城,24.941541,102.764579
新亚洲体育城,新亚洲体育城,24.942687,102.76306
普自村,普自村,24.948789,102.756832
云秀路口(广福路),云秀路口(广福路),24.951128,102.754761
官渡古镇(广福路),官渡古镇(广福路),24.953754,102.752483
宝象河(广福路),宝象河(广福路),24.958177,102.74855
世纪城(广福路),世纪城(广福路),24.960846,102.74617
五甲河(广福路),五甲河(广福路),24.967739,102.74
昌宏路口(广福路),昌宏路口(广福路),24.970395,102.736758
中闸(广福路),中闸(广福路),24.972001,102.734158
海边沟,海边沟,24.974796,102.729095
广福路口(双凤路),广福路口(双凤路),24.978298,102.725929
双凤路口(锦城路),双凤路口(锦城路),24.98052,102.725929
陈家庄,陈家庄,24.982365,102.721252
时代风华小区(官南大道),时代风华小区(官南大道),24.98608,102.72049
小街(官南大道),小街(官南大道),24.994427,102.721832
银海森林小区(日新路),银海森林小区(日新路),25.001015,102.725563
银苑小区(日新路),银苑小区(日新路),25.001503,102.729164
双桥村,双桥村,25.006588,102.73056
昆明会展中心(春城路),昆明会展中心(春城路),25.011515,102.729034
半岛车场,半岛车场,24.933832,102.722066
环湖东路口(珥季路),环湖东路口(珥季路),24.93474,102.720122
昌宏西路口(环湖东路),昌宏西路口(环湖东路),24.935178,102.715694
滇池会展中心(环湖东路),滇池会展中心(环湖东路),24.940734,102.704453
海华街口,海华街口,24.936762,102.699245
福保村,福保村,24.934635,102.695009
福保文化城,福保文化城,24.93806,102.688733
福保路南段,福保路南段,24.941758,102.691997
环湖东路口(福保路),环湖东路口(福保路),24.947674,102.696419
新二村,新二村,24.950981,102.698611
陶李村,陶李村,24.95652,102.703011
曹家桥,曹家桥,24.958511,102.70591
六甲(福保路),六甲(福保路),24.961161,102.708992
小康路口(福保路),小康路口(福保路),24.967751,102.714836
张家庙村,张家庙村,24.972678,102.717812
广福路口(官南大道),广福路口(官南大道),24.981233,102.719497
海口(车场),海口(车场),24.782379,102.601952
新发小区,新发小区,25.035326,102.660786
海源南路口,海源南路口,25.046128,102.662908
小西门远郊车场(下客处),小西门远郊车场(下客处),25.044067,102.69735
华昌路口(环城南路),华昌路口(环城南路),25.022691,102.702886
昆明冠生园(严家地),昆明冠生园(严家地),25.019779,102.697014
金牛小区,金牛小区,25.015799,102.692261
老年活动中心,老年活动中心,25.012795,102.688941
正和小区,正和小区,25.006918,102.677274
广福路口(滇池路),广福路口(滇池路),25.002747,102.672209
渔堆村,渔堆村,25.001225,102.67028
大坝村,大坝村,24.999557,102.668095
边防路口(滇池路),边防路口(滇池路),24.995191,102.66451
河尾村,河尾村,24.990082,102.661176
印城家苑小区,印城家苑小区,25.023516,102.873984
东原启城,东原启城,25.029214,102.86911
西冲小学(新320国道),西冲小学(新320国道),25.036293,102.870703
大板桥地铁站,大板桥地铁站,25.052995,102.876111
白塔路口(人民东路),白塔路口(人民东路),25.042814,102.72393
延安医院(人民东路),延安医院(人民东路),25.043667,102.731003
人民东路口(新迎路),人民东路口(新迎路),25.044909,102.740501
新迎路,新迎路,25.048798,102.740211
世博园,世博园,25.071324,102.755004
世博花园酒店,世博花园酒店,25.075482,102.755113
金殿(穿金路口),金殿(穿金路口),25.087847,102.766907
威远街口(护国路),威远街口(护国路),25.039349,102.714897
昆明市实验中学,昆明市实验中学,25.042564,102.722046
新工人文化宫,新工人文化宫,25.04347,102.729317
席子营(新兴路),席子营(新兴路),25.051262,102.729004
新兴路中段,新兴路中段,25.053343,102.73127
新兴路,新兴路,25.057127,102.735313
穿金路口(白云路),穿金路口(白云路),25.059475,102.734497
公交东部修理公司,公交东部修理公司,25.027752,102.762405
凉亭中路,凉亭中路,25.02605,102.760525
彩云北路口(归十西路),彩云北路口(归十西路),25.025378,102.750634
菊花村,菊花村,25.027982,102.740681
春城路,春城路,25.01796,102.726984
昆明站南广场,昆明站南广场,25.013958,102.723594
官南立交桥(二环南路),官南立交桥(二环南路),25.01424,102.715547
马洒营(二环南路),马洒营(二环南路),25.013676,102.709183
福海立交桥东,福海立交桥东,25.015417,102.700134
气象路口(二环南路),气象路口(二环南路),25.021484,102.690712
西华园(二环南路),西华园(二环南路),25.025928,102.683685
大观桥,大观桥,25.030861,102.675552
小河埂(碧鸡路),小河埂(碧鸡路),25.027431,102.660416
西三环路口(碧鸡路),西三环路口(碧鸡路),25.026033,102.655846
苏家村(碧鸡路),苏家村(碧鸡路),25.023647,102.648468
小渔村(碧鸡路),小渔村(碧鸡路),25.017181,102.637215
省汽修一厂,省汽修一厂,25.013403,102.632637
省旧车报废中心,省旧车报废中心,25.008055,102.629715
干沟尾(碧鸡路),干沟尾(碧鸡路),25.000109,102.626839
车家壁,车家壁,24.992769,102.615938
巫家坝,巫家坝,24.997899,102.741662
日新小区(春城路),日新小区(春城路),24.999966,102.738556
日新村(春城路),日新村(春城路),25.001572,102.735023
和平新村,和平新村,25.02672,102.725555
棕树营,棕树营,25.042101,102.689232
环西桥(环城西路),环西桥(环城西路),25.038281,102.689492
920医院,920医院,25.034627,102.685408
阳光花园小区(阳光中路),阳光花园小区(阳光中路),25.009931,102.677279
云检培训中心,云检培训中心,25.006536,102.678898
南苑,南苑,25.001411,102.683294
杨家地(日新中路),杨家地(日新中路),24.99803,102.687454
邬小村(陆家路),邬小村(陆家路),24.99674,102.68866
广福路口(陆家路),广福路口(陆家路),24.993984,102.684349
湖畔之梦小区,湖畔之梦小区,24.992435,102.683456
广福路口(金湖路),广福路口(金湖路),24.97806,102.705009
逸雅路口(金湖路),逸雅路口(金湖路),24.969644,102.705213
苏家地(金湖路),苏家地(金湖路),24.964285,102.702011
金湖路口(海文路),金湖路口(海文路),24.963073,102.699449
平和花园小区,平和花园小区,24.961068,102.694918
环湖东路口(金湖路),环湖东路口(金湖路),24.956879,102.693733
金湖路口(环湖东路),金湖路口(环湖东路),24.954392,102.692114
范家村(环湖东路),范家村(环湖东路),24.944145,102.697478
眠山地铁站,眠山地铁站,25.046984,102.651081
昌源南路口(人民西路),昌源南路口(人民西路),25.046616,102.656883
海源南路口(人民西路),海源南路口(人民西路),25.046129,102.662933
近华浦路口(人民西路),近华浦路口(人民西路),25.045156,102.676263
西园路口,西园路口,25.044857,102.680291
赵家堆,赵家堆,25.044592,102.684002
西南林业大学(南院路),西南林业大学(南院路),25.057873,102.75219
白龙村,白龙村,25.060217,102.748955
白龙路口(白云路),白龙路口(白云路),25.054349,102.740082
白云路东段,白云路东段,25.056419,102.737951
小坝(白云路),小坝(白云路),25.061523,102.732036
小菜园立交桥西,小菜园立交桥西,25.059518,102.706819
假日城市小区(昌源中路),假日城市小区(昌源中路),25.062132,102.657616
科锦路,科锦路,25.05971,102.659233
高新区车场,高新区车场,25.059641,102.662132
家乐福,家乐福,25.038382,102.71209
威远街,威远街,25.039787,102.710487
正义路步行街,正义路步行街,25.04118,102.709854
文庙(人民中路),文庙(人民中路),25.042266,102.708069
市体育馆(环城西路),市体育馆(环城西路),25.045065,102.68918
二环西路口(科医路),二环西路口(科医路),25.055464,102.669029
洪源路口(科医路),洪源路口(科医路),25.05567,102.666054
海源中路口(科光路),海源中路口(科光路),25.05303,102.660416
昌源中路口(科光路),昌源中路口(科光路),25.053278,102.657112
团山后所,团山后所,25.057049,102.656784
澳霖公寓(海源中路),澳霖公寓(海源中路),25.062027,102.663034
黑林铺(黑林铺前街),黑林铺(黑林铺前街),25.062378,102.64865
昆富路,昆富路,25.062747,102.64674
班庄村口,班庄村口,25.063516,102.645117
班庄村,班庄村,25.065317,102.644397
西三环路口(班庄村),西三环路口(班庄村),25.067569,102.643481
