出发站,到达站,出发站lng,出发站lat,到达站lng,到达站lat
义路村口(玉缘路),义路村口(玉缘路)(紫馨书屋),102.787878,24.964766,102.791272,24.965004
义路村口(玉缘路)(紫馨书屋),龙辉路口(玉缘路),102.791272,24.965004,102.793108,24.9651
龙辉路口(玉缘路),玉缘路口(顺通大道),102.793108,24.9651,102.795699,24.966063
玉缘路口(顺通大道),羊甫车场,102.795699,24.966063,102.79422,24.973984
商汇路,商汇路口(希望路),102.706918,24.983207,102.711819,24.98362
商汇路口(希望路),前程路口(希望路),102.711819,24.98362,102.712486,24.988543
前程路口(希望路),理想小镇小区(希望路),102.712486,24.988543,102.712471,24.993834
理想小镇小区(希望路),佳湖花园(希望路),102.712471,24.993834,102.712231,24.998103
佳湖花园(希望路),日新东路口(希望路),102.712231,24.998103,102.712234,24.999945
日新东路口(希望路),绿荫大道路口(希望路),102.712234,24.999945,102.712547,25.00474
豆腐营(云兴路),永昌小区(云兴路),102.707205,25.017335,102.706102,25.017027
永昌小区(云兴路),永兴路口(华昌路),102.706102,25.017027,102.704922,25.019848
永兴路口(华昌路),环城南路口(华昌路),102.704922,25.019848,102.704826,25.021763
环城南路口(华昌路),船房小区,102.704826,25.021763,102.692431,25.024353
安康路,西坝路口(环城西路),102.697556,25.028147,102.69442,25.029781
西坝路口(环城西路),西坝,102.69442,25.029781,102.691612,25.031576
西坝,西华北路口(西坝路),102.691612,25.031576,102.689154,25.029701
西华北路口(西坝路),西华园(西福路),102.689154,25.029701,102.682075,25.021454
新河村口,新河村,102.6576,24.996611,102.655182,24.991037
新河村,海埂大坝车场,102.655182,24.991037,102.650696,24.981926
捞鱼河公园,罗家村,102.772305,24.82329,102.772161,24.817426
罗家村,小河口村(古滇路),102.772161,24.817426,102.785443,24.815859
大渔村北(古滇路),渔浦路口(古滇路),102.792322,24.821762,102.794948,24.825208
渔浦路口(古滇路),滇韵路口(欣城路),102.794948,24.825208,102.797895,24.828003
滇韵路口(欣城路),大渔公园,102.797895,24.828003,102.802339,24.825421
大渔公园,园宝村(云南白药街),102.802339,24.825421,102.816016,24.818498
园宝村(云南白药街),云南白药街,102.816016,24.818498,102.824575,24.821649
云南白药街,雨花公交枢纽站,102.824575,24.821649,102.843889,24.836903
陈家营路口(玉峰路),玉峰路口(陈家营路),102.647973,25.099596,102.648681,25.0977
康明路口(陈家营路),陈家营路口(金川路),102.654418,25.094839,102.65671,25.094865
陈家营路口(金川路),云南省阜外医院(沙河北路),102.65671,25.094865,102.658368,25.098212
云南省阜外医院(沙河北路),沙河北路口(沙河路),102.658368,25.098212,102.660404,25.096827
沙河北路口(沙河路),五华科技产业园(沙河路),102.660404,25.096827,102.660221,25.092274
五华科技产业园(沙河路),王筇路口(科普路),102.660221,25.092274,102.661632,25.086975
王筇路口(科普路),大塘路口(科普路),102.661632,25.086975,102.660955,25.081849
大塘路口(科普路),海屯路口(科新路),102.660955,25.081849,102.658663,25.077522
海屯路口(科新路),高新区管委会(科高路),102.658663,25.077522,102.658563,25.074965
